class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,-414.82193,63.29481,4006.2332,134.66377,51.588997,2661.4246,71.217705,15.715894,246.9893,41.495995,12.156789,147.78752,32.046673,8.412475,70.76974,28.22957,5.083013,25.83702,22.350922,8.726933,76.159355,11.62242,8.152764,66.46756,12.374322,6.9958696,48.942192,21.132816,8.460802,71.585175,12.25524,6.7955627,46.179672,-1.2085944,6.8278995,46.620213,-3.2958338,8.95751,80.23699,-2.8466272,8.437522,71.19177,0.14534557,5.7516203,33.08114,5.5266156,5.1077003,26.088604,7.0186152,3.5382092,12.518924,3.8709044,5.0661016,25.665384,3.5824738,7.3790245,54.450005,5.550133,5.732304,32.85931
0,-387.19952,52.243553,2729.389,120.06339,46.68811,2179.7795,71.23817,15.073645,227.21477,43.284344,12.755774,162.70976,31.714834,10.228419,104.62055,23.080578,8.581564,73.64324,13.093818,13.837918,191.48799,6.103481,13.813509,190.81302,12.117471,6.8275495,46.61543,22.079115,9.062396,82.12702,15.452713,5.3860183,29.009195,2.5131133,6.9504128,48.30824,0.44310865,6.395031,40.896423,3.1929724,5.61414,31.518566,4.398877,4.084883,16.686272,5.961096,4.178069,17.456263,6.4331717,2.9661365,8.797966,4.7033696,4.557929,20.774715,5.227607,6.225163,38.75265,5.7094946,4.9390244,24.393965
0,-412.33456,60.97642,3718.1238,139.58913,40.087708,1607.0244,74.460365,10.273723,105.549385,44.217644,6.9714713,48.60141,32.914173,5.5486555,30.787577,25.842686,7.500545,56.25818,17.007956,9.490731,90.07398,7.8170066,12.1782,148.30855,12.29704,10.556125,111.43177,24.205658,7.077893,50.096565,10.977901,6.0923157,37.11631,-11.537614,6.2895207,39.55807,-19.399323,13.378798,178.99222,-15.604404,14.034481,196.96666,-5.17875,5.531106,30.593136,6.1817966,7.4961286,56.19194,10.729103,4.3505325,18.927132,4.7953997,4.511888,20.357132,3.9777584,7.2915335,53.166462,9.082373,5.8281736,33.96761
0,-413.67606,77.196724,5959.334,109.55827,63.94495,4088.9568,59.507484,19.124258,365.73724,37.532383,11.074438,122.64318,28.18103,8.148308,66.39492,22.940407,7.22143,52.14905,17.26167,10.822871,117.13454,9.436876,10.404299,108.24944,10.811558,6.944637,48.227978,18.992395,10.014859,100.2974,11.626211,6.7717657,45.856808,2.1927962,8.30065,68.90078,2.2497818,7.5912976,57.627796,2.269727,7.6144114,57.979263,3.206168,4.8624454,23.643375,4.6136427,4.2935963,18.434967,6.0899005,3.6844318,13.575037,4.4578557,4.248691,18.051374,3.6327174,6.370689,40.58568,4.4702163,4.324227,18.698938
0,-419.33047,64.46613,4155.8823,112.69065,51.482765,2650.475,67.11099,11.725818,137.4948,43.45707,10.841185,117.53128,33.4124,8.646013,74.75354,28.363409,3.379728,11.422563,22.77077,4.6053777,21.209503,14.774756,8.397635,70.52029,14.20838,7.914988,62.647038,19.401537,7.8439116,61.52695,12.098397,5.1089716,26.101591,2.4882708,8.093356,65.50241,1.4921254,9.179799,84.26871,1.8092098,7.4864173,56.046444,2.0582862,4.6764126,21.868835,4.3476534,6.2378345,38.91058,7.7117305,4.6597576,21.713343,7.511626,4.471145,19.991138,8.134406,5.987331,35.848133,9.159983,4.917373,24.180561
0,-428.1096,59.060463,3488.1384,108.5338,55.09441,3035.3938,64.31293,18.379993,337.8242,41.298332,11.1353855,123.9968,32.47683,8.23581,67.828575,25.503048,4.581914,20.993937,17.611166,8.921632,79.59552,10.384468,11.3919525,129.77658,13.193733,7.4167423,55.008068,20.17898,8.240674,67.908714,13.427914,6.2898893,39.562706,2.2382379,8.568824,73.424736,1.8254563,9.7786255,95.62151,4.44223,9.8386345,96.79874,4.1745105,5.84092,34.11635,5.8293962,5.0019374,25.019377,7.3355656,3.0926585,9.564537,5.437831,3.7662096,14.184335,4.9676046,5.723517,32.758648,5.5525575,5.1834245,26.867891
0,-405.79477,54.72302,2994.6086,128.28185,48.389263,2341.5208,69.69129,12.581397,158.29155,39.029762,11.537545,133.11496,29.369127,8.687178,75.467064,22.858534,8.244912,67.97858,14.41256,11.447353,131.0419,5.9590726,13.301817,176.93832,9.565667,8.329741,69.384575,18.98303,7.379397,54.455498,12.257633,5.1811113,26.843914,-0.6262396,8.491478,72.105194,-0.5197469,6.207713,38.5357,2.7516267,7.490977,56.114735,1.5161015,5.2728486,27.802933,3.6384733,4.2449174,18.019323,6.3454547,3.856531,14.872831,4.4139524,3.1796224,10.109999,4.2949624,4.4897795,20.158121,5.696602,3.0649097,9.393672
0,-419.3292,69.50343,4830.727,105.872406,57.45481,3301.0552,62.89522,13.585787,184.57361,42.479324,10.946061,119.81625,32.862797,8.436526,71.17498,26.862917,5.5740085,31.069572,21.459402,6.729855,45.29095,13.533687,9.173624,84.15538,12.918434,6.9189095,47.87131,17.711905,6.961484,48.46226,10.559679,4.987275,24.872913,1.5583242,7.453322,55.552006,1.0240065,7.2347155,52.341106,0.95040107,7.536676,56.801483,1.0631142,4.5437074,20.645277,3.734945,4.1105785,16.896856,6.5457845,3.085179,9.51833,6.3348584,4.36336,19.03891,6.445917,6.192276,38.34428,7.0318885,4.6248455,21.389194
0,-414.65866,70.54257,4976.2544,102.10663,58.32428,3401.7214,60.30318,16.954498,287.455,40.07492,11.078875,122.74146,30.048326,8.166011,66.68373,23.186834,7.526977,56.65538,16.688158,10.202419,104.08936,9.448257,12.774704,163.19305,10.948521,8.882447,78.897865,17.977722,8.348457,69.69675,10.774656,5.085345,25.860731,0.7740972,8.720132,76.040695,0.23679154,8.377336,70.179756,1.3381836,7.9522,63.23748,1.0563576,5.4589033,29.799623,2.4573188,6.1442223,37.751465,5.656121,3.7707686,14.218697,5.13692,3.95173,15.616171,5.5190325,5.5461736,30.76004,6.8080344,4.062246,16.501842
0,-434.4705,74.07848,5487.6216,123.6299,53.536457,2866.1523,68.722435,14.933695,223.01524,43.851383,12.57479,158.12534,31.5416,9.8045,96.12821,24.707155,5.876225,34.53002,18.564648,8.240721,67.909485,10.422619,10.199741,104.03473,11.305644,9.914112,98.28963,19.599407,7.1975684,51.804993,11.060893,7.2254734,52.207466,0.70656216,8.457861,71.53541,-0.0337056,8.211167,67.42326,0.112531245,6.8295574,46.642853,2.776642,3.9745507,15.797054,5.499708,3.7031784,13.713531,8.354327,4.1749363,17.430092,6.924898,3.9161887,15.3365345,5.7745914,7.8587227,61.75952,6.7929897,6.169815,38.06662
0,-452.53998,65.45366,4284.181,99.810326,55.81158,3114.9326,61.621872,16.771385,281.27936,41.805946,11.77363,138.61838,32.54502,9.110247,82.9966,27.324394,4.600545,21.165012,21.820333,6.06726,36.81164,14.666653,8.233556,67.791435,14.647109,5.9965224,35.958282,19.433016,8.810355,77.62235,12.913748,5.140576,26.42552,3.59169,6.9768076,48.675846,1.429982,8.404919,70.642654,1.3676767,7.7332315,59.80287,2.8738964,4.8386626,23.412655,5.366099,4.975727,24.757858,6.945472,3.5820017,12.830736,6.1905823,4.780256,22.850847,6.6300454,6.2585077,39.16892,7.014865,4.955396,24.55595
0,-437.7361,58.771683,3454.1108,131.20586,42.481953,1804.7164,73.76384,10.987972,120.735535,44.22758,11.640169,135.49353,30.975908,9.384058,88.06054,22.418922,7.546907,56.955807,13.128262,11.679328,136.4067,5.0753517,14.02272,196.63667,11.445529,8.253303,68.117,24.35258,10.295553,105.99842,14.381637,5.187256,26.907625,-3.382667,7.1345444,50.901726,-7.6324105,9.942598,98.85527,-4.603549,10.272748,105.52934,-0.123850025,4.3840737,19.220102,4.6491795,5.9060335,34.88123,6.853826,3.7046149,13.724171,3.8406856,5.735745,32.89877,4.7694616,6.879615,47.3291,6.9176784,4.852912,23.550753
0,-434.7681,61.519127,3784.603,100.1563,55.39772,3068.9072,63.422764,14.989099,224.67308,43.054684,10.045034,100.90271,33.73669,7.037965,49.53295,27.841934,3.656899,13.3729105,21.313126,5.8113375,33.771645,13.569426,9.633723,92.808624,14.345983,5.7750893,33.351658,19.85443,8.833322,78.027565,13.612428,5.01631,25.163368,4.1324034,6.380633,40.712475,3.5025373,6.300194,39.69244,4.491543,7.2533364,52.61089,3.907067,4.1717186,17.403236,5.6393332,3.7341387,13.943791,7.331889,2.8298664,8.008143,6.1282845,4.7450833,22.515814,5.9305687,6.465928,41.808224,5.663267,5.7757454,33.359234
0,-402.06705,107.710144,11601.475,151.52567,72.09229,5197.2983,54.585426,16.579863,274.89185,33.051605,11.705886,137.02777,22.774029,11.45424,131.1996,17.82796,10.203261,104.106544,10.457245,14.300843,204.51413,-4.7830358,19.517496,380.93265,-1.2319493,15.683515,245.97263,26.296926,13.327864,177.63196,6.3039436,7.657756,58.641228,-11.923738,13.18663,173.8872,-1.8997004,11.799611,139.23082,1.4290682,10.739682,115.34078,-3.075285,6.5475974,42.87103,-3.406378,9.314476,86.75946,8.651543,5.1162753,26.176275,2.3902924,4.504738,20.292664,-2.8955948,10.558031,111.472015,5.1500907,4.9174004,24.180824
0,-445.74374,76.999825,5928.9727,132.39272,52.321686,2737.5588,64.523415,24.006718,576.3225,38.355934,17.523638,307.0779,29.158354,15.808221,249.89984,24.120342,8.468101,71.70873,18.23204,13.057936,170.50967,7.846174,13.296195,176.7888,9.944497,9.411604,88.578285,24.40023,10.6282835,112.96042,13.653763,6.71827,45.13515,-0.49416175,7.1233974,50.74279,-0.27568126,10.140917,102.8382,0.6785639,9.760785,95.27292,2.4007027,5.2268763,27.320236,4.695989,4.8513665,23.535757,6.306253,5.049307,25.4955,4.5604777,5.0899277,25.907364,5.9106684,7.654473,58.590954,7.217124,5.8680468,34.43397
0,-360.56906,42.37296,1795.4677,151.28258,30.055672,903.3434,75.341545,13.640079,186.05174,38.98022,14.392502,207.14412,29.949722,8.973132,80.517105,25.5024,5.237413,27.430494,18.506973,8.720451,76.046265,8.9424925,7.985939,63.775223,11.132728,5.9924006,35.908863,20.54841,7.333597,53.78165,13.245366,5.1201115,26.215544,-1.5918804,7.5082526,56.37386,-5.2815976,7.2500887,52.56379,-2.7270818,6.7191796,45.147373,1.6022474,4.637156,21.503216,7.2786803,4.628895,21.426666,7.800666,5.0193396,25.19377,2.880015,3.9039807,15.241066,2.355011,6.148413,37.802986,5.7256613,4.8388987,23.41494
0,-411.2472,88.117905,7764.765,152.1757,61.023136,3723.823,57.48334,15.836311,250.78876,31.126696,14.059945,197.68207,20.575378,14.1916485,201.4029,16.758553,10.909516,119.017555,12.258917,14.26574,203.51135,-1.4218498,16.560255,274.24203,1.5897049,11.837633,140.12956,23.392141,11.737303,137.76428,8.653724,6.9631324,48.48521,-6.612673,11.963468,143.12456,0.8982721,9.0554285,82.00079,2.6741574,12.381542,153.30258,0.17707337,5.9699745,35.640594,-0.03948703,8.421332,70.918846,6.644179,6.4746666,41.92131,1.4367882,4.9630623,24.631987,-2.645654,7.5564537,57.09999,1.6944104,3.9802845,15.842665
0,-440.34885,73.20742,5359.3267,134.94455,55.909424,3125.8638,72.56104,10.010226,100.20463,47.34992,7.180224,51.55562,35.692932,4.95244,24.52666,23.778126,6.8938446,47.525093,13.164668,12.215201,149.21114,4.790202,14.842891,220.3114,10.687435,9.684952,93.79829,24.965574,10.313908,106.376686,15.062305,6.6081247,43.667313,-0.21748815,9.887056,97.753876,2.6126122,7.0032253,49.045162,7.761222,10.135103,102.72032,2.9887526,4.983206,24.832338,3.099397,7.8096185,60.990143,9.581532,4.4099407,19.447577,6.569773,4.6124663,21.274845,4.8871584,9.202301,84.68235,7.5014906,6.2426434,38.970596
0,-406.74576,79.582016,6333.298,123.77273,65.01084,4226.4097,61.745457,17.075613,291.57657,36.48364,13.981624,195.4858,27.91484,10.644526,113.305916,24.598179,6.2864285,39.519184,19.77086,8.48895,72.06226,9.460487,11.152408,124.37619,10.462462,8.456676,71.515366,21.1874,9.349295,87.40931,12.9818325,5.3287277,28.39534,1.9105924,9.831249,96.65346,2.9907951,6.706913,44.982685,3.646245,5.6748962,32.204445,3.4545095,4.606651,21.221233,5.285268,4.435656,19.675045,7.1899114,4.51377,20.37412,4.3417926,4.4370213,19.687157,3.9619029,6.1448183,37.758793,5.438639,4.6658173,21.76985
